kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag
5775129,K02802.01,2,0.988,1.5786120171090656,1.000631880307906,7.157735484249907,6.4654135082863124,5927.0,0.7852704694357512,4.323,14.919
9898447,K02803.01,2,1.0,1.217143021025931,0.4252677354043441,7.153833801578843,6.451449405658597,5615.0,0.6606239888543853,4.505,12.258
5307568,K02804.01,0,0.001,1.2887865350089265,0.6981347220709844,7.226936018493289,6.741806946386124,5884.0,0.7275486072772778,4.408,14.037
11135308,K02805.01,2,0.999,1.057053403960958,0.5766133643039938,7.43955930913332,7.5900184429400035,6324.0,0.7490548124982412,4.352,13.295
2985587,K02807.01,1,1.0,1.4760703287921537,1.205970806988609,7.29505641646263,7.014508823923977,6310.0,0.8250522514398839,4.273,13.91
6521045,K00041.03,2,1.0,3.5927317366728624,0.9360933591703349,6.508769136971682,3.8819760840758493,5788.0,0.9058362739702961,4.122,11.197
8077137,K00274.01,2,1.0,2.7781756798362425,0.883767540168595,6.876264611890766,5.340610278738288,6063.0,0.9604989865384754,4.061,11.39
7019524,K02877.01,2,0.981,1.8419359386987622,0.7323678937132266,6.949856455000773,5.635539322059795,5914.0,0.670390193437329,4.483,14.699
5106313,K02878.01,2,0.991,1.588263909071467,0.7561219797213337,6.863803391452954,5.29159482078721,5018.0,0.6086780239334952,4.492,14.756
9825174,K02880.01,2,0.993,0.5544173612125175,0.7975071958841881,7.535830462798367,7.975980522510227,5618.0,0.6280751838162304,4.494,15.918
5642620,K02882.01,1,0.0,4.341959608999165,1.3137236682850553,5.641907070938114,0.9042181506398859,4474.0,0.47871556984775704,4.67,15.398
8429415,K02965.01,0,0.0,0.855506168292718,0.8960880245566356,7.803026643632217,9.048641106462084,6463.0,1.0378001492713522,3.959,12.709
5014903,K02966.01,0,0.0,2.166500538681448,1.0612565021243408,6.802394763324311,5.0463884638020735,5765.0,0.6626879730752367,4.468,15.648
5980783,K02967.01,2,0.983,3.645536568670641,1.1969481893889715,6.202535517187923,2.70805020110221,5646.0,0.5971867894140341,4.55,15.527
8560804,K02969.01,0,0.0,3.4956875313943128,1.2267122912954254,6.630683385642372,4.362971228138722,6007.0,1.014868295235149,4.064,12.567
12008872,K02729.01,2,1.0,2.7655494105684357,1.085189268335969,6.723832440821209,4.734881792509748,6143.0,0.749527513996053,4.344,13.914
8415200,K02730.01,2,0.989,1.7086651632164638,0.8372475245337022,7.102499355774649,6.243545348316789,5576.0,0.8281150409704297,4.201,13.836
4072333,K02731.01,0,0.0,1.1011924674754094,0.9707789171582248,7.1853870155804165,6.5761770471592325,5645.0,0.6232610530957788,4.549,15.664
9886361,K02732.01,2,1.0,2.0833666969190694,0.8671004876833833,7.085901464365611,6.176407664606888,6170.0,0.9158906518528154,4.192,12.805
9886361,K02732.03,2,0.986,4.012432794638251,1.1216775615991057,6.405228458030842,3.479700443150099,6170.0,0.9158906518528154,4.192,12.805
3730335,K02808.01,0,0.0,0.4675555683132811,1.0715836162801904,7.995643604287271,9.812511417178053,6049.0,1.0392160787114533,3.997,13.484
6528464,K00270.01,2,1.0,2.6087673331449284,0.9282193027394289,6.822197390620491,5.126401482467963,5587.0,0.8850064418343887,4.091,11.411
7428316,K02809.01,0,0.0,2.095173019306301,0.8671004876833833,6.848005274576363,5.226660234783806,6050.0,0.6397464038328301,4.525,14.8
10275766,K02810.01,0,0.0,0.5078712302401404,3.2156706939192525,7.791935956938058,9.002580384538703,6363.0,0.7875478559814296,4.386,15.396
10275766,K02810.02,0,0.4808294015396076,5.874793586616729,1.2612978709452054,5.717027701406222,1.095273387402595,6392.0,0.8020015854720274,4.366,15.396
